id,name,description,deck
290,Neverwinter Nights,hideous evil order town sinister conspiracy mysterious betrayer epic struggle powerful evil gameplay fantasy world magic world,rare lot everyone
294,Croc ,new adventure search showdown archenemy evil journey tribe unique mischievous,promise fatal
295,Civilization II Test of Time,powerful civilization new epic journey unknown game challenge history legend future conquer world clever diplomacy ruthless strength epic intuitive command create world multiple game compatible play new adventure strategy gameplay world final chapter millennium,
297,Duke Nukem Zero Hour,Time-Spanning invasion hour new blood gut-wrenching action-packed time Incredible all-new high-octane annihilation,Time-Spanning invasion hour Hour
300,Age of Wonders,authentic turn fantasy strategy classic hit series today fantasy empire today time magic peace age gale chaos arrival single uninvited race fragile balance ancient struggle power survival wake turmoil land strategy wondrous ancient awesome magical power empire light darkness fate world,many own complex strategy game
305,World Driver Championship,passport career job world different competition exotic realistic head-to-head two-player split-screen mode replay multiple camera,average racing game exceptional
306,Tom Clancy's Rainbow Six Rogue Spear,full force hallmark realism suspense sequel razor edge justice dark geopolitical turmoil spine-tingling explosive action intense counter-terrorist warfare team multi-national special deadly terrorist death real world globe airplane real sleep,many game similar predecessor laundry list
311,Donkey Kong ,homeland certain doom air sky,point numbness game
313,Unreal Tournament ,competition competitive spirit customizable different such pirate new hammer opponent rocket-powered nuke body count high,Unreal complete first-person shooter available
314,Sim Theme Park,different fantastic visitor perspective one-of-a-kind thrill helpful advisor instant feedback excitement step own,visual appeal heart business simulation
316,Thief II The Metal Age,city corrupt sheriff loom someone soft touch step law master thief clear profit perish smash-hit first-person sneaker whole new level stealth strategy skill,mission design consistent original action game date
318,Who Wants to be a Millionaire ,iPhone shakes-up hot seat new dramatic new countdown clock show new intensity franchise classic charm heart hot seat knowledge general knowledge different new new countdown clock other awesome,game own mediocrity blandness
319,NBA Live ,Take-Your-Soul-to-the-Hole right game current player ultimate outdoor court challenge mode Over-the-top action all-new special crossover high-flying three-ball downtown TV-style presentation camera play-by-play ultimate live experience,previous good time
320,Omikron The Nomad Soul,many little time universe parallel world need mysterious character dimension soul dark futuristic city epic adventure strange parallel world many alive fight interact immense gaming environment menacing,innovation originality amount nothing senseless combination familiar play
323,South Park Rally,drivin bad self rest raunchiest road race insane sweet custom,power hood nothing able fact good game
326,The Sims,chance simulated pursue money romance happy home game downloadable family chaos wrong way game,game solid few basic gameplay gameplay
327,Nox,average all-American guy ordinary life backwater trailer park television dimensional wormhole world malevolent control sorceress power stop evil mighty fearless powerful,few game single-player fast-paced multiplayer
329, TenEighty Snowboarding,steep bumpy incline night room game intense snow different different different real thing next ski lift,game
330, A D ,PC title release wary magic hard utmost strategic prowess talent business top notch diplomatic own undiscovered chain challenge challenge stuff true own own development settlement trade defense,historical period extreme fast-paced violent
332, Xtreme,new system season finish special different chance champion backside rail grab way finish season insane player split screen difficulty own Xtreme rush,character asphalt fleshy smack
333, D Baseball,realistic baseball video game technology life-like polygonal bit pitch real,excellent rookie attempt future award
336, D Ultra Mini Golf ,game ingenious twist golf hot summer night windmill golf way much vintage whole bunch new strange crazy favorite pastime whole new level fun bank space lot disbelief ball molten lava yet- friend hole-in-one,unimaginative game unrealized potential
341, Xtreme,real in-line capture phenom hidden equipment insane,game something
342, Wheel Thunder,four-wheel frenzy off-road dirt second premier all-terrain racing game,multiplayer career nice game fun-seeking race present ample
343, Winks,world evil good ready action adventure nighttime,good purchase parent other anyone quality platformer
344, th Legion,reckless consumption overpopulation ecosystem collapse desperation world interstellar exit society poor common control catch-the th powerful fiery welcome home honor,something game strategy
345,Disney Pixar A Bug's Life,film epic game miniature story misfit ant colony greedy gang interactive life cinematic quality animation ready bug's-eye-view incredible fast-paced adventure,obvious interested advertisement movie playable game
351,Absolute Zero,nervous able pounding pressure simultaneous space surface subterranean attack trouble rocket-fast adventure ready science-fiction fight life alien invasion once-dormant core peaceful mining colony hell defense mining machinery hovercraft war different combat screen original action furious sure own conspiracy internal rebellion space war different different texture-mapped on-screen complex interwoven plot video soundtrack complex professional different,story well-conceived fresh th century cold fusion buzz solar system busy
352,Abuse,loose bloodthirsty genetic hope world grotesque constant complete freedom opposition person multiplayer action secret arsenal destructive power death unique jet easy tough editor contest money,swift debut game side-scrolling platform game superior control
354,Ace Combat ,smart bomb smart pilot whole squadron polygonal jet real deal sortie dogfight kill-or-be-killed situation predecessor heat-seeker exhaust,problem game
